Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Cluster
209,61,Male,Blouse,Footwear,472.03,Illinois,XL,Green,Summer,3.8,No,Express,No,No,5,PayPal,Weekly,7
210,41,Male,Sneakers,Outerwear,340.91,Texas,S,Green,Fall,1.1,Yes,Express,Yes,Yes,41,Venmo,Annually,3
211,32,Female,Sneakers,Clothing,345.76,California,XL,Black,Fall,1.2,No,Standard,No,Yes,39,Venmo,Monthly,3
212,49,Male,Sandals,Clothing,193.72,Illinois,S,Green,Fall,3.4,Yes,Free,No,No,30,Debit Card,Annually,5
213,49,Male,Boots,Footwear,304.96,Texas,M,Blue,Winter,2.4,No,Express,Yes,Yes,16,Debit Card,Quarterly,1
214,41,Male,Shirt,Clothing,24.86,Texas,XL,White,Summer,4.8,No,Express,Yes,No,24,Cash,Quarterly,5
215,58,Male,Jacket,Footwear,325.33,Texas,M,Blue,Fall,4.6,Yes,Express,Yes,Yes,31,PayPal,Monthly,5
216,69,Male,Dress,Outerwear,458.38,Texas,XL,White,Winter,3.9,Yes,Free,No,No,11,Cash,Monthly,7
217,66,Male,Pants,Footwear,314.04,Florida,S,Black,Summer,4.3,No,Free,Yes,No,48,Venmo,Bi-Weekly,5
218,66,Male,Boots,Footwear,439.38,Texas,S,Green,Summer,3.7,No,Standard,No,No,12,Debit Card,Weekly,7
219,69,Male,Shirt,Outerwear,367.51,Florida,XL,Green,Winter,1.5,No,Express,Yes,No,18,Debit Card,Weekly,0
220,29,Male,Sneakers,Clothing,77.87,Florida,S,Green,Summer,4.1,Yes,Next Day Air,Yes,No,43,Debit Card,Weekly,5
221,56,Male,Sandals,Footwear,257.71000000000004,Texas,M,White,Winter,1.8,Yes,Free,No,Yes,47,Credit Card,Quarterly,0
222,19,Female,Pants,Footwear,51.89,California,M,Green,Fall,2.3,No,Standard,Yes,Yes,24,Venmo,Weekly,3
223,20,Female,Sneakers,Outerwear,276.3,Texas,L,Blue,Winter,4.3,Yes,Express,Yes,No,30,Debit Card,Bi-Weekly,7
224,66,Male,Sandals,Clothing,88.23,Texas,S,Green,Summer,3.0,No,Next Day Air,No,Yes,36,Venmo,Bi-Weekly,5
225,54,Female,Pants,Footwear,25.62,Texas,M,Black,Fall,4.4,Yes,Free,No,No,24,Debit Card,Weekly,5
226,66,Female,Dress,Outerwear,222.58,California,XL,Blue,Fall,1.9,Yes,Next Day Air,No,Yes,15,PayPal,Monthly,1
227,34,Male,Shirt,Footwear,257.71000000000004,New York,S,Green,Spring,3.4,Yes,Free,Yes,Yes,37,Venmo,Bi-Weekly,3
228,66,Male,Pants,Accessories,253.28,New York,M,Green,Spring,1.3,Yes,Standard,Yes,No,42,Cash,Monthly,0
229,19,Male,Jacket,Outerwear,297.06,Florida,S,Red,Summer,3.6,Yes,Next Day Air,Yes,No,48,Credit Card,Quarterly,3
230,19,Female,Boots,Clothing,40.99,Florida,XL,White,Winter,4.1,No,Express,Yes,Yes,22,Cash,Bi-Weekly,2
231,45,Female,Blouse,Clothing,79.04,California,M,Blue,Winter,3.3,No,Express,Yes,Yes,13,Venmo,Monthly,1
232,40,Male,Jacket,Clothing,288.15,Illinois,L,Red,Summer,2.1,Yes,Free,No,No,5,Debit Card,Weekly,1
233,54,Male,Jacket,Clothing,184.72,New York,L,Black,Fall,1.1,No,Express,Yes,Yes,24,Venmo,Quarterly,1
234,49,Male,Boots,Footwear,370.0,Florida,S,White,Summer,1.5,No,Next Day Air,No,Yes,22,Credit Card,Annually,0
235,50,Female,Blouse,Footwear,333.1,New York,XL,Blue,Summer,3.5,Yes,Standard,Yes,No,42,Venmo,Annually,5
236,18,Female,Jacket,Clothing,425.89,California,M,Green,Fall,4.7,No,Free,No,Yes,11,Debit Card,Weekly,7
237,36,Female,Pants,Clothing,352.4,California,XL,Blue,Winter,1.8,Yes,Next Day Air,Yes,No,12,Cash,Quarterly,1
238,19,Female,Pants,Clothing,226.37,Illinois,M,Green,Summer,3.9,No,Free,Yes,No,35,PayPal,Quarterly,3
239,61,Male,Pants,Footwear,343.02,Illinois,S,White,Winter,4.5,No,Standard,No,No,38,Cash,Quarterly,5
240,43,Male,Blouse,Clothing,152.18,California,M,Green,Summer,3.1,No,Free,Yes,Yes,33,Debit Card,Quarterly,5
241,49,Male,Jacket,Clothing,167.03,Florida,XL,Black,Fall,3.7,No,Express,No,Yes,5,Debit Card,Annually,1
242,23,Male,Sandals,Accessories,398.71,New York,XL,Green,Fall,4.3,No,Express,Yes,No,37,Credit Card,Monthly,7
243,49,Female,Blouse,Accessories,234.28,Texas,S,Black,Spring,2.0,No,Free,Yes,No,49,Venmo,Quarterly,0
244,21,Female,Pants,Clothing,403.22,Illinois,XL,White,Fall,2.2,No,Standard,No,Yes,39,Venmo,Monthly,3
245,28,Male,Boots,Outerwear,414.76,Texas,M,White,Spring,1.0,Yes,Standard,Yes,Yes,7,Cash,Quarterly,3
246,34,Male,Jacket,Clothing,431.63,Florida,S,Blue,Summer,4.9,Yes,Express,No,Yes,7,PayPal,Bi-Weekly,7
247,55,Female,Jacket,Accessories,459.98,Illinois,M,Black,Winter,4.7,Yes,Standard,Yes,No,39,PayPal,Bi-Weekly,4
248,41,Male,Sneakers,Outerwear,226.87,Texas,XL,Black,Fall,4.1,Yes,Free,Yes,No,32,Credit Card,Bi-Weekly,5
249,22,Female,Sneakers,Outerwear,173.06,Florida,S,Red,Fall,1.3,No,Next Day Air,Yes,Yes,33,Debit Card,Quarterly,3
250,69,Male,Dress,Clothing,299.46,New York,M,Red,Fall,2.8,No,Free,Yes,Yes,43,Credit Card,Monthly,0
251,51,Male,Sandals,Accessories,198.16,Florida,XL,Red,Summer,1.4,No,Express,Yes,Yes,14,Venmo,Annually,1
252,23,Male,Sandals,Accessories,308.52,Illinois,XL,Green,Spring,1.1,Yes,Express,Yes,No,35,Debit Card,Weekly,3
253,39,Male,Shirt,Outerwear,358.68,California,L,Red,Summer,3.5,Yes,Express,Yes,No,34,Credit Card,Annually,7
254,28,Male,Sandals,Clothing,350.43,New York,XL,Black,Winter,4.8,Yes,Standard,No,Yes,45,Cash,Quarterly,5
255,65,Male,Sneakers,Footwear,199.79,Texas,M,Green,Summer,4.6,No,Free,Yes,Yes,21,Venmo,Bi-Weekly,5
256,33,Male,Blouse,Footwear,100.09,Illinois,S,White,Winter,3.8,Yes,Next Day Air,Yes,No,22,PayPal,Bi-Weekly,5
257,50,Female,Sandals,Accessories,226.65,California,L,Blue,Fall,1.4,No,Free,Yes,No,39,Credit Card,Monthly,0
258,26,Female,Sneakers,Footwear,88.45,Florida,XL,Red,Winter,2.1,Yes,Next Day Air,No,Yes,44,Venmo,Quarterly,3
259,23,Female,Dress,Accessories,447.25,California,XL,White,Winter,2.3,No,Free,No,Yes,21,Venmo,Annually,3
260,33,Female,Jacket,Accessories,186.02,Illinois,XL,Black,Spring,4.1,Yes,Express,Yes,Yes,4,PayPal,Quarterly,7
261,46,Female,Sandals,Accessories,94.14,Illinois,M,Blue,Winter,4.2,No,Next Day Air,Yes,No,30,PayPal,Quarterly,5
262,20,Male,Dress,Footwear,32.21,California,L,White,Winter,2.5,Yes,Free,Yes,Yes,12,PayPal,Bi-Weekly,1
263,37,Male,Jacket,Accessories,329.99,Florida,M,Blue,Summer,2.7,Yes,Standard,No,No,27,Credit Card,Annually,3
264,53,Female,Boots,Outerwear,325.71,California,L,Red,Fall,1.2,No,Standard,Yes,No,19,PayPal,Weekly,1
265,36,Male,Boots,Clothing,183.49,Illinois,S,Black,Summer,2.2,No,Free,No,Yes,32,Cash,Bi-Weekly,3
266,43,Female,Jacket,Clothing,54.42,Illinois,M,Blue,Summer,2.8,Yes,Express,Yes,Yes,15,Venmo,Annually,1
267,20,Female,Sandals,Accessories,216.62,Texas,M,White,Fall,1.5,No,Next Day Air,No,No,28,PayPal,Monthly,3
268,36,Male,Shirt,Clothing,169.38,Texas,S,Red,Fall,2.8,Yes,Free,No,Yes,22,Venmo,Bi-Weekly,1
269,37,Male,Sneakers,Footwear,345.02,New York,L,Red,Winter,4.4,No,Standard,Yes,No,23,Debit Card,Monthly,7
270,49,Male,Blouse,Footwear,310.77,Illinois,XL,White,Winter,3.3,Yes,Next Day Air,Yes,Yes,33,Debit Card,Bi-Weekly,5
271,24,Female,Blouse,Clothing,195.0,Texas,S,White,Spring,1.3,No,Standard,Yes,Yes,6,PayPal,Quarterly,1
272,69,Male,Pants,Footwear,124.59,California,XL,Blue,Summer,1.8,Yes,Standard,Yes,Yes,37,Venmo,Annually,0
273,58,Female,Jacket,Clothing,494.26,Florida,XL,Green,Fall,2.9,Yes,Free,Yes,Yes,36,Debit Card,Monthly,0
274,50,Female,Blouse,Clothing,237.92,California,S,Red,Winter,2.4,Yes,Standard,Yes,No,3,PayPal,Bi-Weekly,1
275,57,Female,Sandals,Clothing,350.37,Florida,L,Blue,Fall,2.4,No,Next Day Air,Yes,No,33,Venmo,Monthly,0
276,56,Male,Shirt,Accessories,87.47,Texas,XL,White,Winter,3.1,Yes,Express,No,No,41,PayPal,Bi-Weekly,5
277,35,Male,Jacket,Clothing,253.08,New York,S,Blue,Spring,3.3,No,Free,Yes,Yes,21,Venmo,Bi-Weekly,7
278,57,Female,Shirt,Accessories,33.22,California,M,White,Spring,4.2,No,Next Day Air,Yes,No,4,Debit Card,Weekly,6
279,18,Male,Sandals,Clothing,262.62,California,M,Black,Fall,2.4,No,Free,No,No,49,PayPal,Weekly,3
280,28,Male,Blouse,Clothing,482.73,California,M,White,Spring,4.2,Yes,Standard,Yes,No,41,Debit Card,Weekly,7
281,45,Male,Blouse,Clothing,204.42,Florida,S,White,Fall,2.4,No,Standard,Yes,Yes,22,PayPal,Monthly,1
282,42,Female,Pants,Footwear,38.72,Texas,M,White,Winter,1.2,No,Next Day Air,Yes,No,14,Credit Card,Quarterly,1
283,67,Female,Blouse,Accessories,34.86,California,XL,Green,Summer,3.2,No,Next Day Air,Yes,Yes,30,Debit Card,Bi-Weekly,5
284,40,Male,Jacket,Accessories,206.23,California,M,White,Spring,3.4,Yes,Express,No,Yes,8,Debit Card,Annually,1
285,48,Female,Sandals,Clothing,96.81,New York,M,Red,Winter,4.7,No,Next Day Air,No,No,42,Cash,Weekly,5
286,47,Male,Boots,Clothing,31.21,New York,XL,Red,Summer,3.9,No,Next Day Air,Yes,Yes,24,Debit Card,Monthly,5
287,59,Male,Sandals,Footwear,382.98,Texas,M,Blue,Summer,4.7,No,Free,Yes,No,24,Venmo,Monthly,7
288,52,Male,Jacket,Footwear,240.09,Texas,XL,Green,Summer,4.6,No,Standard,No,No,48,PayPal,Monthly,5
289,24,Male,Jacket,Footwear,158.84,Illinois,M,Blue,Winter,3.4,Yes,Next Day Air,Yes,No,20,Credit Card,Annually,3
290,33,Female,Pants,Accessories,452.04,New York,XL,Red,Winter,3.1,Yes,Express,No,No,8,Venmo,Annually,7
291,43,Female,Pants,Accessories,75.75,Illinois,M,Red,Fall,3.2,No,Next Day Air,No,No,47,Venmo,Weekly,5
292,65,Female,Blouse,Accessories,478.84,Florida,XL,Black,Summer,4.9,No,Standard,No,Yes,37,Venmo,Annually,4
293,69,Male,Dress,Clothing,170.7,Illinois,S,White,Summer,4.1,No,Next Day Air,Yes,No,21,Venmo,Weekly,5
294,66,Male,Sandals,Accessories,446.43,California,XL,Red,Summer,1.4,No,Free,Yes,Yes,42,Credit Card,Annually,0
295,19,Male,Sandals,Outerwear,309.41,Illinois,M,Blue,Fall,4.1,Yes,Standard,Yes,No,22,Cash,Annually,7
296,18,Female,Dress,Outerwear,416.82,Texas,M,Blue,Summer,1.7,Yes,Next Day Air,No,No,48,Debit Card,Annually,3
297,65,Male,Pants,Footwear,492.33,Florida,L,White,Winter,2.8,Yes,Free,Yes,No,3,Venmo,Weekly,8
298,29,Female,Blouse,Accessories,158.43,California,XL,White,Summer,1.8,Yes,Standard,Yes,Yes,28,Debit Card,Bi-Weekly,3
299,22,Female,Dress,Outerwear,481.35,Illinois,S,Black,Spring,3.8,No,Next Day Air,No,Yes,14,Debit Card,Weekly,7
300,54,Female,Blouse,Footwear,206.95,Florida,XL,Green,Winter,3.0,No,Free,Yes,Yes,0,Venmo,Bi-Weekly,1
301,49,Female,Blouse,Accessories,205.05,Florida,XL,Blue,Fall,2.2,Yes,Express,Yes,Yes,29,Cash,Monthly,1
302,26,Female,Blouse,Clothing,183.39,California,S,White,Summer,1.3,Yes,Free,Yes,No,28,Debit Card,Monthly,3
303,58,Female,Sneakers,Outerwear,279.88,Illinois,XL,Blue,Spring,2.2,No,Express,No,No,19,PayPal,Weekly,1
304,52,Male,Jacket,Clothing,93.99,Florida,S,White,Fall,3.7,No,Next Day Air,Yes,Yes,32,Debit Card,Bi-Weekly,5
305,36,Male,Blouse,Accessories,285.78,Florida,S,Red,Fall,2.3,No,Free,No,Yes,40,Venmo,Bi-Weekly,3
306,65,Female,Sneakers,Outerwear,280.02,New York,XL,Blue,Winter,2.1,No,Express,No,Yes,43,Credit Card,Bi-Weekly,0
307,33,Female,Pants,Accessories,385.71,Florida,XL,Red,Fall,1.7,No,Standard,No,No,35,Debit Card,Monthly,3
308,20,Male,Dress,Clothing,420.15,New York,M,Blue,Fall,3.0,Yes,Free,Yes,Yes,21,Cash,Weekly,7
309,37,Female,Jacket,Outerwear,231.41,Illinois,M,Green,Fall,2.1,Yes,Next Day Air,Yes,Yes,12,PayPal,Quarterly,1
310,41,Female,Boots,Clothing,165.12,Illinois,L,Black,Fall,3.9,No,Standard,Yes,No,6,PayPal,Bi-Weekly,1
311,50,Male,Dress,Accessories,144.48,Illinois,L,Red,Summer,1.3,No,Express,No,Yes,7,Credit Card,Bi-Weekly,1
312,41,Female,Jacket,Accessories,113.42,Texas,XL,White,Summer,3.7,Yes,Free,No,No,27,Credit Card,Quarterly,5
313,69,Female,Boots,Clothing,47.67,Illinois,S,Green,Summer,2.0,No,Free,Yes,No,44,Debit Card,Weekly,0
314,28,Female,Dress,Outerwear,184.38,Florida,L,Blue,Summer,3.0,Yes,Next Day Air,No,No,42,Venmo,Bi-Weekly,3
315,66,Male,Jacket,Clothing,149.72,California,XL,Red,Spring,2.1,Yes,Standard,Yes,No,8,Cash,Weekly,1
316,25,Male,Dress,Accessories,483.88,New York,L,Blue,Summer,3.9,Yes,Free,Yes,No,24,PayPal,Bi-Weekly,7
317,53,Male,Dress,Clothing,287.7,Texas,S,Blue,Fall,4.8,Yes,Free,Yes,Yes,15,Credit Card,Annually,7
318,55,Female,Boots,Accessories,186.69,Illinois,XL,Blue,Summer,4.7,No,Standard,Yes,Yes,9,Cash,Bi-Weekly,6
319,57,Female,Dress,Clothing,298.62,Illinois,S,Black,Summer,3.3,No,Free,Yes,No,10,Venmo,Annually,7
320,37,Male,Dress,Outerwear,86.81,California,XL,Black,Winter,2.9,Yes,Standard,Yes,No,30,PayPal,Weekly,3
321,52,Female,Boots,Outerwear,233.14,California,L,White,Fall,4.3,No,Standard,Yes,Yes,11,PayPal,Bi-Weekly,7
322,65,Female,Pants,Clothing,320.59,Texas,M,Red,Summer,3.7,No,Standard,No,Yes,30,Venmo,Monthly,5
323,42,Female,Blouse,Clothing,254.67,New York,L,Green,Summer,1.7,No,Next Day Air,Yes,No,13,PayPal,Monthly,1
324,52,Female,Sandals,Outerwear,212.85,Illinois,L,Green,Summer,4.3,No,Standard,No,Yes,43,Venmo,Quarterly,5
325,42,Female,Shirt,Accessories,497.05,Texas,M,Green,Spring,2.7,Yes,Standard,No,Yes,31,PayPal,Monthly,0
326,46,Male,Sneakers,Outerwear,442.55,Florida,M,Blue,Summer,1.8,No,Express,Yes,No,49,Debit Card,Annually,0
327,35,Female,Shirt,Accessories,319.23,Florida,XL,Black,Winter,2.1,Yes,Express,No,Yes,16,Venmo,Monthly,3
328,63,Male,Shirt,Clothing,293.3,Texas,XL,Red,Fall,2.1,Yes,Next Day Air,No,Yes,34,Cash,Monthly,0
329,35,Female,Jacket,Clothing,317.92,Illinois,S,Blue,Fall,3.1,No,Standard,No,Yes,0,Debit Card,Monthly,7
330,19,Male,Blouse,Accessories,116.63,Texas,S,Black,Summer,1.9,Yes,Express,Yes,Yes,28,Cash,Bi-Weekly,3
331,52,Female,Jacket,Clothing,209.67,Illinois,L,Black,Summer,1.5,No,Express,Yes,No,3,PayPal,Quarterly,1
332,33,Male,Blouse,Accessories,38.94,California,M,Red,Summer,1.5,No,Free,Yes,Yes,22,Cash,Weekly,1
333,58,Female,Boots,Footwear,248.26,Texas,S,Red,Fall,3.3,Yes,Standard,Yes,No,27,Debit Card,Quarterly,5
334,53,Male,Boots,Outerwear,280.65,Illinois,L,Red,Fall,3.9,No,Express,Yes,Yes,15,Venmo,Annually,7
335,50,Female,Sandals,Footwear,129.32,Texas,M,Blue,Spring,2.3,Yes,Next Day Air,No,No,11,Credit Card,Bi-Weekly,1
336,21,Male,Blouse,Accessories,482.73,Texas,XL,White,Winter,1.1,Yes,Free,No,No,20,Cash,Bi-Weekly,3
337,50,Female,Dress,Outerwear,456.54,Illinois,L,Red,Spring,1.5,No,Free,Yes,Yes,44,Credit Card,Monthly,0
338,31,Male,Pants,Accessories,366.63,Illinois,XL,White,Winter,4.7,No,Standard,No,No,16,Cash,Monthly,7
339,38,Male,Sandals,Outerwear,276.03,New York,S,Blue,Spring,3.0,No,Standard,No,No,39,Cash,Annually,3
340,65,Female,Sandals,Outerwear,437.59,Texas,S,White,Fall,2.8,Yes,Free,No,No,12,Venmo,Bi-Weekly,8
341,37,Female,Dress,Outerwear,82.71,Florida,M,Green,Spring,1.2,No,Next Day Air,No,No,31,PayPal,Weekly,3
342,25,Male,Pants,Outerwear,399.44,Texas,L,White,Winter,3.9,Yes,Standard,Yes,No,36,Debit Card,Quarterly,7
343,24,Female,Jacket,Accessories,79.91,Texas,XL,Red,Summer,3.0,Yes,Standard,Yes,Yes,49,Debit Card,Bi-Weekly,3
344,20,Male,Pants,Outerwear,401.22,Illinois,M,Blue,Winter,1.8,No,Free,Yes,No,14,Debit Card,Weekly,3
345,34,Male,Jacket,Outerwear,152.37,Texas,S,Red,Summer,1.4,No,Free,No,No,11,PayPal,Weekly,1
346,50,Male,Boots,Footwear,441.0,Texas,S,Green,Fall,2.5,No,Standard,No,Yes,48,Credit Card,Quarterly,0
347,65,Female,Shirt,Clothing,473.14,Florida,L,Red,Winter,4.3,Yes,Express,Yes,Yes,14,Debit Card,Weekly,7
348,29,Male,Boots,Clothing,91.42,Illinois,XL,Red,Spring,4.5,No,Standard,Yes,No,33,Credit Card,Annually,5
349,68,Male,Boots,Footwear,242.08,Texas,L,Red,Winter,3.4,Yes,Express,No,Yes,5,PayPal,Weekly,6
350,39,Female,Shirt,Footwear,490.87,California,XL,Black,Summer,3.9,No,Free,Yes,Yes,16,PayPal,Annually,7
351,39,Female,Pants,Accessories,252.04,New York,XL,Green,Fall,1.5,No,Express,Yes,Yes,47,Venmo,Weekly,3
352,63,Female,Sandals,Accessories,434.5,Florida,L,Red,Spring,3.4,Yes,Next Day Air,No,Yes,48,Debit Card,Monthly,0
353,47,Female,Pants,Accessories,302.59,Texas,M,Red,Winter,3.7,Yes,Free,No,Yes,19,Venmo,Weekly,7
354,55,Male,Jacket,Footwear,200.16,California,L,Red,Summer,1.8,No,Standard,Yes,Yes,8,Debit Card,Annually,1
355,55,Male,Dress,Footwear,157.18,Texas,L,Blue,Spring,4.5,No,Standard,No,No,4,PayPal,Weekly,6
356,62,Male,Jacket,Outerwear,117.55,Texas,S,Black,Fall,1.8,No,Free,Yes,No,22,PayPal,Weekly,1
357,68,Male,Dress,Accessories,385.66,Illinois,S,Blue,Spring,2.3,No,Free,No,Yes,32,Cash,Weekly,0
358,25,Female,Boots,Accessories,205.54,Illinois,L,Black,Fall,3.5,No,Next Day Air,No,Yes,37,Cash,Annually,3
359,44,Male,Shirt,Accessories,265.41,Illinois,L,Red,Spring,3.6,Yes,Free,Yes,No,13,PayPal,Weekly,7
360,44,Male,Boots,Clothing,256.32,California,S,Green,Winter,3.8,Yes,Standard,No,Yes,16,PayPal,Quarterly,7
361,51,Female,Blouse,Outerwear,297.09,Texas,XL,White,Summer,1.4,Yes,Next Day Air,Yes,No,18,Credit Card,Quarterly,1
362,38,Male,Pants,Accessories,435.48,New York,L,White,Winter,4.4,Yes,Standard,No,Yes,32,Credit Card,Annually,7
363,47,Male,Dress,Accessories,490.75,Florida,M,Red,Winter,3.1,No,Express,Yes,No,0,Venmo,Monthly,7
364,50,Male,Jacket,Accessories,215.64,Illinois,M,Blue,Fall,2.9,Yes,Free,No,No,12,Cash,Quarterly,1
365,45,Male,Shirt,Clothing,417.21,Illinois,M,Green,Fall,4.9,Yes,Express,No,Yes,45,Cash,Bi-Weekly,4
366,64,Male,Dress,Clothing,386.97,Texas,L,Black,Fall,4.0,Yes,Standard,Yes,Yes,26,PayPal,Quarterly,4
367,50,Male,Jacket,Footwear,295.29,Texas,XL,Red,Winter,1.5,No,Express,No,Yes,5,PayPal,Bi-Weekly,1
368,22,Female,Pants,Outerwear,478.9,California,XL,Green,Spring,4.0,Yes,Express,Yes,Yes,5,Venmo,Annually,7
369,65,Female,Boots,Footwear,116.23,California,S,Green,Spring,1.4,No,Standard,No,No,32,Cash,Monthly,0
370,36,Male,Pants,Outerwear,72.45,Illinois,L,Black,Winter,1.1,Yes,Standard,No,Yes,29,Credit Card,Bi-Weekly,3
371,21,Male,Sneakers,Clothing,429.9,Texas,XL,Green,Winter,2.6,No,Free,Yes,No,45,Debit Card,Bi-Weekly,3
372,52,Female,Blouse,Accessories,230.79,New York,L,Blue,Summer,5.0,Yes,Express,No,Yes,34,Venmo,Quarterly,5
373,66,Male,Sneakers,Footwear,426.55,Florida,S,Blue,Fall,1.7,No,Next Day Air,No,No,22,Debit Card,Bi-Weekly,0
374,34,Male,Shirt,Accessories,448.68,Texas,S,Blue,Fall,3.7,Yes,Next Day Air,Yes,Yes,9,Credit Card,Annually,7
375,61,Male,Dress,Footwear,49.98,Texas,S,Green,Winter,1.7,No,Standard,No,Yes,18,Credit Card,Annually,1
376,45,Female,Shirt,Clothing,444.06,California,M,Blue,Winter,3.9,No,Standard,Yes,No,27,Debit Card,Annually,7
377,47,Male,Boots,Clothing,235.19,Florida,L,Black,Spring,3.0,Yes,Express,Yes,Yes,22,Venmo,Quarterly,1
378,46,Female,Jacket,Clothing,265.01,Illinois,S,Green,Winter,3.7,No,Standard,Yes,Yes,3,Debit Card,Monthly,7
379,63,Male,Pants,Footwear,320.76,Texas,L,White,Spring,1.8,No,Next Day Air,No,Yes,19,Venmo,Quarterly,0
380,23,Female,Sneakers,Outerwear,464.66,Illinois,M,Green,Winter,4.0,Yes,Free,No,Yes,18,Venmo,Annually,7
381,52,Female,Sandals,Footwear,29.18,Texas,M,Black,Summer,5.0,Yes,Free,Yes,Yes,41,PayPal,Quarterly,5
382,58,Male,Sneakers,Outerwear,248.88,Illinois,S,White,Summer,3.7,No,Express,No,No,26,Cash,Annually,5
383,54,Female,Boots,Footwear,350.11,Florida,S,Green,Spring,3.0,Yes,Free,Yes,Yes,33,Cash,Weekly,0
384,41,Male,Sneakers,Footwear,366.9,California,XL,Blue,Fall,4.7,Yes,Standard,No,No,3,Credit Card,Weekly,7
385,46,Female,Boots,Clothing,352.42,Florida,L,Red,Summer,1.1,Yes,Standard,Yes,Yes,37,PayPal,Bi-Weekly,0
386,66,Male,Sandals,Accessories,84.53,New York,S,Red,Spring,3.9,No,Standard,Yes,Yes,6,Cash,Monthly,6
387,63,Male,Shirt,Accessories,163.71,California,XL,Blue,Winter,4.6,No,Standard,No,No,47,Venmo,Weekly,5
388,48,Female,Pants,Outerwear,192.18,Florida,L,Red,Winter,1.2,No,Express,Yes,No,6,Venmo,Annually,1
389,52,Male,Dress,Accessories,406.13,New York,S,Red,Spring,2.8,No,Free,Yes,No,49,Debit Card,Quarterly,0
390,50,Male,Jacket,Footwear,153.8,Texas,XL,Blue,Fall,1.8,No,Next Day Air,No,No,25,Debit Card,Quarterly,1
391,69,Female,Dress,Footwear,121.14,Texas,XL,Blue,Spring,3.3,No,Free,Yes,No,25,Venmo,Bi-Weekly,6
392,38,Male,Shirt,Clothing,479.58,Illinois,L,Green,Spring,3.6,No,Standard,Yes,Yes,18,Venmo,Quarterly,7
393,49,Male,Jacket,Clothing,24.25,California,XL,Green,Summer,2.2,Yes,Next Day Air,No,No,8,Debit Card,Weekly,1
394,40,Female,Sneakers,Accessories,498.95,Texas,L,Blue,Spring,2.8,No,Express,Yes,No,19,Cash,Quarterly,7
395,50,Female,Sandals,Outerwear,344.87,California,L,Black,Spring,2.1,No,Standard,Yes,Yes,41,Credit Card,Weekly,0
396,20,Male,Sandals,Accessories,417.67,Texas,L,Red,Winter,2.5,Yes,Standard,Yes,Yes,44,Debit Card,Weekly,3
397,35,Male,Blouse,Accessories,161.42,Illinois,M,Green,Summer,1.6,Yes,Next Day Air,Yes,No,49,Cash,Monthly,3
398,42,Female,Shirt,Accessories,26.87,Florida,XL,Red,Winter,4.5,Yes,Express,Yes,No,15,Cash,Bi-Weekly,6
399,59,Female,Shirt,Accessories,374.18,Illinois,L,White,Winter,1.0,No,Next Day Air,Yes,No,16,Cash,Annually,8
400,48,Male,Pants,Footwear,420.39,New York,S,Blue,Fall,4.5,Yes,Express,Yes,Yes,21,PayPal,Weekly,7
401,20,Female,Dress,Outerwear,375.43,Texas,M,Black,Fall,3.3,No,Standard,Yes,No,12,PayPal,Bi-Weekly,7
402,57,Male,Shirt,Footwear,88.57,New York,M,White,Summer,2.3,No,Free,No,Yes,11,Cash,Annually,1
403,63,Male,Shirt,Outerwear,381.65,New York,XL,White,Summer,3.9,No,Standard,Yes,Yes,9,Venmo,Quarterly,7
404,41,Male,Sneakers,Clothing,389.08,California,L,White,Fall,3.0,Yes,Free,Yes,Yes,0,PayPal,Bi-Weekly,7
405,67,Male,Sneakers,Accessories,336.1,Texas,XL,Blue,Fall,3.0,Yes,Free,No,Yes,31,Debit Card,Bi-Weekly,0
406,49,Male,Jacket,Footwear,387.74,New York,M,Green,Fall,1.4,No,Express,Yes,No,29,PayPal,Bi-Weekly,0
407,64,Female,Boots,Outerwear,426.04,Florida,L,Blue,Fall,2.6,No,Next Day Air,Yes,Yes,7,Venmo,Quarterly,8
408,39,Female,Boots,Clothing,314.53,New York,S,Green,Fall,2.0,No,Express,Yes,Yes,20,Credit Card,Quarterly,3
409,40,Female,Blouse,Clothing,62.53,Florida,L,White,Winter,1.1,Yes,Standard,Yes,No,21,PayPal,Bi-Weekly,1
410,19,Female,Boots,Accessories,254.06,California,M,White,Summer,2.4,No,Next Day Air,Yes,Yes,17,Cash,Monthly,3
411,44,Male,Pants,Outerwear,57.27,New York,S,Black,Winter,1.4,Yes,Free,Yes,No,1,Cash,Weekly,1
412,59,Male,Blouse,Footwear,215.62,Illinois,L,Green,Winter,2.0,No,Free,No,Yes,47,Cash,Quarterly,0
413,19,Male,Jacket,Accessories,215.41,California,S,White,Spring,1.4,Yes,Standard,No,No,43,Credit Card,Monthly,3
414,43,Male,Sneakers,Footwear,51.68,Florida,S,Red,Winter,1.4,No,Next Day Air,No,Yes,8,Venmo,Quarterly,1
415,34,Female,Boots,Clothing,187.43,California,M,Black,Fall,1.8,Yes,Standard,No,Yes,2,Debit Card,Bi-Weekly,1
416,57,Male,Dress,Footwear,73.28,New York,S,Blue,Fall,5.0,Yes,Standard,No,No,25,Venmo,Monthly,5
417,50,Male,Sneakers,Footwear,407.95,Texas,XL,Black,Spring,1.0,Yes,Express,Yes,Yes,20,Credit Card,Annually,8
